row_index,title,cleaned_text,skills_technical,skills_soft,skills_tool,skills_domain,skills_certification,all_skills,skill_count
33,1st. Line Support Engineer / Customer Success Engineer,st line support engineer customer success engineer client salesforce native customer engagement toolset helps clients lead team repeatable revenue covering full sales cycle getting first touch closing,,,Salesforce,customer engagement; sales cycle,,Salesforce; customer engagement; sales cycle,3
34,1st Sales Development Representative,st sales development representative requirements : following absolute must haves role : fluent spoken english neutral accent significant experience sales development tech startup outsourcing company p,,English,,sales development,,English; sales development,2
35,1 to 4 Senior Backend .NET Developers,senior backend net developers definitely expect : back end full stack microsoft net core microservices web api sql server rabbitmq front end : angular knockout legacy english upper intermediate offer ,.NET Core; Microsoft .NET; SQL Server; RabbitMQ; Angular; Knockout,English,,,,.NET Core; Microsoft .NET; SQL Server; RabbitMQ; Angular; Knockout; English,7
36,2004/07 Senior BackEnd Engineer,senior backend engineer looking self motivated goal oriented senior back end engineer would like part team working brand new startup projects foreign customers looking senior backend engineer fluent p,Python; zero trust solution,,,,,Python; zero trust solution,2
37,2004/12 Database Administrator (DBA),database administrator dba offer people oriented management without bureaucracy friendly climate inside company previous employees come back often flexible working hours business trips customers paid ,RDS configuration; RDS monitoring; DB design; SQL; MongoDB,,BI tool,,,RDS configuration; RDS monitoring; DB design; SQL; MongoDB; BI tool,6
38,2004/23 RoR Full Stack Developer,ror full stack developer ruby rails html css javascript nosql tdd rspec project project enterprise tech decision makers go read peer product reviews cybersecurity devops every reviewer project verifie,Ruby; Rails; HTML; CSS; JavaScript; NoSQL; TDD; RSpec,,,cybersecurity; DevOps,,Ruby; Rails; HTML; CSS; JavaScript; NoSQL; TDD; RSpec; cybersecurity; DevOps,10
39,2004/25 Middle Full Stack Developer,middle full stack developer project project provides self service environment platform anyone easily create use empowered drag'n'drop functionality project 's suite offers intuitive visual codeless in,drag'n'drop functionality,,,,,drag'n'drop functionality,1
40,2004/30 Senior Software Development Engineer (Java),senior software development engineer java project project catalyst value based healthcare system healthcare technology company offers software analytics network solutions technology enabled services h,Java,,,,,Java,1
41,2004/30 Senior Software Development Engineer (Java),senior software development engineer java software development tdd net project project catalyst value based healthcare system healthcare technology company offers software analytics network solutions ,Java; TDD; NET,,,,,Java; TDD; NET,3
42,2004/35 Senior Java Developer,senior java developer : java play x amazon aws nosql redis agile mongodb elasticsearch scrum offer people oriented management without bureaucracy friendly climate inside company flexible working hours,Java; AWS; NoSQL; Redis; MongoDB; Elasticsearch,Agile; Scrum,,,,Java; AWS; NoSQL; Redis; Agile; MongoDB; Elasticsearch; Scrum,8
43,2004/37 Senior Back End Engineer (Python),senior back end engineer python position company looking self motivated goal oriented senior back end engineer would like part team working brand new startup projects foreign customers offer : people ,Python,,,,,Python,1
44,2004/37 Senior Back End Engineer (Python),senior back end engineer python : : backend engineer python docker ci cd amazon aws offer : people oriented management without bureaucracy friendly climate inside company flexible working hours paid p,Python; Docker; CI/CD; Amazon AWS,,,,,Python; Docker; CI/CD; Amazon AWS,4
45,2004/38 Senior DevOps Engineer,senior devops engineer : devops backend engineer kubernetes node js golang git blockchain offer : people oriented management without bureaucracy friendly climate inside company previous employees come,DevOps; Kubernetes; Node.js; Golang; Git; Blockchain,,,,,DevOps; Kubernetes; Node.js; Golang; Git; Blockchain,6
46,2004/45 Senior DevOps Engineer,senior devops engineer devops sql ci cd amazon aws gcp azure linux offer people oriented management without bureaucracy friendly climate inside company previous employees come back often flexible work,DevOps; SQL; CI/CD; Amazon AWS; GCP; Azure; Linux,,,,,DevOps; SQL; CI/CD; Amazon AWS; GCP; Azure; Linux,7
47,2004/51 SRE Developer,sre developer : devops ssh linux project catalyst value based healthcare system healthcare technology company offers software analytics network solutions technology enabled services help create strong,DevOps; SSH; Linux,,,,,DevOps; SSH; Linux,3
48,2004/52 Senior Full Stack Developer,senior full stack developer : : angular python javascript project project well funded startup double digit growth space offer cutting edge autonomous training platform increases corporate cybersecurit,Angular; Python; JavaScript,,,,,Angular; Python; JavaScript,3
49,2004/53 Full Stack Developer,full stack developer : python node js project developing next generation application log alerting cybersecurity helping organizations reduce risk prevent damage project bringing industry robust inside,Python; Node.js,,,,,Python; Node.js,2
50,2014/02 Zoho CRM Developer,zoho crm developer project usa client publisher news information empowers people make better informed decisions important issues affecting lives looking zoho crm developer news portal sits within alex,,,Zoho CRM,,,Zoho CRM,1
51,2016/05 Junior+/Middle+/Senior IT Sales Manager,junior middle senior sales manager years experience sales high level english upper presence closed deals least different sales channels ability demonstrate results experience selling projects solution,,,Magento; WordPress,Sales,,Magento; WordPress; Sales,3
52,2017/07 Python Developer (Middle+),python developer middle requirements : years hands development experience experience developing data oriented products using python experience data processing fw : spark pandas hadoop airflow experien,Python; Spark; Pandas; Hadoop; Airflow; Elasticsearch; Mongo; Redis; Kubernetes,,Helm,,,Python; Spark; Pandas; Hadoop; Airflow; Elasticsearch; Mongo; Redis; Kubernetes; Helm,10
53,2017/08 Middle DevOps Engineer (Kubernetes),middle devops engineer kubernetes remote kyiv remote available due quarantine position responsibilities : developing automating r lab environments different clouds gcp azure aws running different plat,Kubernetes; AWS; Azure; GCP,,Git; Grafana; Prometheus,,,Kubernetes; AWS; Azure; GCP; Git; Grafana; Prometheus,7
54,2017/08 Middle DevOps Engineer (Kubernetes),middle devops engineer kubernetes : devops python linux ci cd kubernetes amazon aws azure git grafana prometheus position responsibilities : developing automating r lab environments different clouds g,Kubernetes; Python; Linux; CI/CD; AWS; Azure,,Git; Grafana; Prometheus,,,Kubernetes; Python; Linux; CI/CD; AWS; Azure; Git; Grafana; Prometheus,9
55,2017/12 Data Scientist (Middle/Senior),data scientist middle senior : : data scientist python pyspark nlp key responsibilities develop ml focused solutions financial sector using best breed tools combining thetaray unique algorithms framew,Python; PySpark; NLP; ML; Spark; Airflow,,MLflow,,,Python; PySpark; NLP; ML; Spark; MLflow; Airflow,7
56,2022/02 Full-Stack Developer (Ruby),full stack developer ruby required skills : years strong hands experience creating maintaining web applications ruby rails experience javascript jquery experience working programming languages php und,Ruby; Ruby on Rails; JavaScript; JQuery; PHP; MySQL; PostgreSQL; MongoDB; Redis; Linux,,,,,Ruby; Ruby on Rails; JavaScript; JQuery; PHP; MySQL; PostgreSQL; MongoDB; Redis; Linux,10
57,2025/06 Production Specialist/Technical Support,production specialist technical support : : technical support production specialist algorithms unix python project : low latency platform advanced trading platform testing creating executing proprieta,Unix; Python; Algorithms,,,,,Unix; Python; Algorithms,3
58,2026/01 Flutter Developer,flutter developer services outsourcing company provides cutting edge mobile products solutions headquartered kharkiv ukraine provide full lifecycle product development clients around world gained exte,Flutter; iOS; Android; Blackberry,,,,,Flutter; iOS; Android; Blackberry,4
59,2036/03 PHP developer,php developer : php mysql rest api javascript ajax html css vue js react laravel symfony requirements : back end skills : mysql : maintenance optimization knowledge complex queries join union subqueri,PHP; MySQL; REST API; JavaScript; Ajax; HTML; CSS; Vue.js; React; Laravel; Symfony,,,,,PHP; MySQL; REST API; JavaScript; Ajax; HTML; CSS; Vue.js; React; Laravel; Symfony,11
60,2037/02 Middle/Senior React developer (with Java experience),middle senior react developer java experience : react javascript typescript rest api responsibilities : developing new features apis implementing ui modern stack react migrate existing gwt parts appli,React; Java; JavaScript; TypeScript; REST API,,,,,React; Java; JavaScript; TypeScript; REST API,5
61,2037/03 Middle/Senior Python Developer,middle senior python developer stable long term project growing customer base small team fun work responsibilities : developing new application features design multi user resource efficient solutions ,Python; PostgreSQL; SQL,,,,,Python; PostgreSQL; SQL,3
62,2037/03 Middle/Senior Python Developer,middle senior python developer looking experienced python engineer proficient python postgres sql project high performance web application view analyze domain specific data commitment collaborative pr,Python; Postgres; SQL,,,,,Python; Postgres; SQL,3
63,2040/01 Marketing Manager,marketing manager least years relevant experience marketing manager company year product marketer depth understanding digital marketing channels experience data analysis adept : product marketing emai,Data analysis; Web analysis,,,Product marketing; Email marketing,,Data analysis; Product marketing; Email marketing; Web analysis,4
64,2040/02 Internet Marketer,internet marketer work experience internet marketer year experience successful usage internet marketing tools smm serm experience technical task setting control implementation seo ppc specialists abil,SEO; PPC; SMM; SERM,,,,,SEO; PPC; SMM; SERM,4
65,2041/06 Senior Solution Architect/ Blockchain Expert,senior solution architect blockchain expert kyiv remote : looking solution architect strong blockchain background requirements : ethereum background experience working solidity smart contract developm,Blockchain; Ethereum; Solidity; Smart contract development; Python; Node.js; Rust; Go,Team leadership,,,,Blockchain; Ethereum; Solidity; Smart contract development; Python; Node.js; Rust; Go; Team leadership,9
66,2042/01 Middle Front End Developer,middle front end developer front end development vue js react angular office us company located kharkiv company provides consultancy saas services finance software development carried kharkiv qualific,Vue.js; React; Angular; HTML; CSS; JS,,,,,Vue.js; React; Angular; HTML; CSS; JS,6
67,2043/06 Middle Java Developer,middle java developer required skills qualifications : years java development experience hands experience latest java versions backend solutions experience spring boot security data lombok experience ,Java; Spring Boot; Security; MongoDB; MongoBee; Lombok; Swagger; OAuth; JWT,,,,,Java; Spring Boot; Security; MongoDB; MongoBee; Lombok; Swagger; OAuth; JWT,9
68,2045/01 Middle Python Developer,middle python developer least years experience python least year experience django experience react js experience django rest framework experience writing unit tests understanding restful architecture,Python; Django; React; Django Rest Framework; Unit tests; RESTful architecture,,,,,Python; Django; React; Django Rest Framework; Unit tests; RESTful architecture,6
69,2045/02 Middle Python Web Developer,middle python web developer years experience python web development experience sql nosql experience building complex systems development process : tdd git flow agile knowledge : python python web fram,Python; SQL; NoSQL; Flask; Pyramid; Aiohttp; MongoDB; CouchDB; RabbitMQ; REST API; Microservices; ELK; CentOS; OpenStack; Swift; Unittest; Ansible; Kubernetes; TDD; Git Flow,Agile,,,,Python; SQL; NoSQL; Flask; Pyramid; Aiohttp; MongoDB; CouchDB; RabbitMQ; REST API; Microservices; ELK; CentOS; OpenStack; Swift; Unittest; Ansible; Kubernetes; TDD; Git Flow; Agile,21
70,2-3 Application Security Engineers (only for Ukraine candidates),application security engineers ukraine candidates application security engineer vital role helps assure critical applications securely enables business functions looking person passionate uncovering s,OWASP,,,,,OWASP,1
71,24/7 DevOps Engineer,devops engineer requirements : years relevant practical experience digiatl ocean container registry kubernetes manged db knowledge various monitoring tools nice : experience supporting web servers res,Kubernetes; AWS; Cloud,,,,,Kubernetes; AWS; Cloud,3
72,24/7 EngOps,engops become part engops team contribute building next big thing restaurant technology required skills : intermediate english good communication skills experience windows linux servers administration,Windows; Linux; AWS,,Git; Jenkins,,,Windows; Linux; Git; AWS; Jenkins,5
73,24/7 Junior DevOps,junior devops qualifications experience : intermediate english good communication skills experience linux servers administration networking strong logical thinking knowledge git nice : basic knowledge,Linux; AWS; GCP; MongoDB,,Git; Jenkins; Jira; Confluence,,,Linux; Git; AWS; GCP; Jenkins; Jira; Confluence; MongoDB,8
74,24/7 NOC engineer/DevOps Trainee,noc engineer devops trainee job requirements qualifications : basic linux os knowledge network troubleshooting configuration skills dns http vpn ssl tcp ip etc scripting skills either bash ksh sh pyth,Linux; DNS; HTTP; VPN; SSL; TCP/IP; Bash; KSH; Python,,Jenkins,,,Linux; DNS; HTTP; VPN; SSL; TCP/IP; Bash; KSH; Python; Jenkins,10
75,24x7 EngOps,x engops : green_circle : join dev pro us based outsource software development company delivering exceptional software experience clients since invite junior x engops join team contribute enhancement ,,,,,,,0
76,#2966  Senior / Middle Backend or FullStack Developer TypeScript / NodeJS / React,senior middle backend fullstack developer typescript nodejs react team works node js typescript web application uses postgresql 's latest features store search data working front end team using react ,TypeScript; Node.js; React; PostgreSQL,,,,,TypeScript; Node.js; React; PostgreSQL,4
77,2 Cloud Solutions Azure architects,cloud solutions azure architects definitely expect : x cloud solutions azure architect azure x analytic data stores least upper intermediate english communication skills aim project build poc team con,Azure; Data stores,,,,,Azure; Data stores,2
78,2D/3D Animator,animator responsibilities : create high quality video animations visual effects requirements : proficient adobe effects knowledge skills graphics editors : autodesk ds max maya excellent knowledge ado,,,Adobe Effects; Autodesk DS Max; Maya; Adobe Photoshop; Unity,,,Adobe Effects; Autodesk DS Max; Maya; Adobe Photoshop; Unity,5
79,2D/3D Animator,animator rise kingdoms mobile mmo real time strategy game inspired history today number players world exceeded million ranked top revenue list chinese games entered global market looking talented anim,,,,,,,0
80,2D/3D Animator,animator profile : excellent illustration storyboarding vector animation skills outstanding animation showreel portfolio extensive knowledge adobe effects knowledge software fluency written english re,Vector animation; Storyboarding; Illustration,,Adobe Effects; Blender,,,Adobe Effects; Blender; Vector animation; Storyboarding; Illustration,5
81,2d/3d Animator (GameDev),animator gamedev requirements : experience work commercial projects practical experience usage animation base principals degree graphic design similar strong knowledge adobe photoshop spine willingnes,Graphic design; Animation; Visual effects; Post processing; Performance optimization,,Adobe Photoshop,,,Adobe Photoshop; Graphic design; Animation; Visual effects; Post processing; Performance optimization,6
82,"2D-, 3D-Animator position",animator position onlyplay fast growing gaming product development company team develops high quality games launch popular platforms inspired new ideas bring trends gaming world coming years face seri,,,,,,,0
83,2d-3d artist,artist company solves game production challenges co production full cycle company supporting game production stages game design art development live ops years experience game development unique expert,,,,Game development,,Game development,1
84,2D / 3D Artist,artist client client creative studio made animators video producers developers create data driven sophisticated mobile ads mini games responsibilities build high quality engaging authentic mobile ads ,UI/UX; Game design; Animation,,,,,UI/UX; Game design; Animation,3
85,2D/3D Artist(Designer),artist designer looking artist designer wants join team block product company engaged development various types blockchain tasks stage development focused development game industry looking talented de,Game design; Prototyping,Time management,Figma; Adobe Photoshop; Adobe Illustrator,,,Figma; Adobe Photoshop; Adobe Illustrator; Game design; Prototyping; Time management,6
86,2D/3D Artist / Illustrator,artist illustrator possible tasks depending interest suitability : create revise virtual environments combine purchased models make high poly objects game ready e reduce poly adjust materials etc sett,3D modeling; Character customization,,Maya; Unity; Daz,,,Maya; Unity; Daz; 3D modeling; Character customization,5
87,2D/3D Artist / Illustrator,artist illustrator seeking skilled artist illustrator create visually appealing engaging graphics animations variety projects ideal candidate experience illustration well experience using range design,Illustration; Animation; Graphic design,,,,,Illustration; Animation; Graphic design,3
88,2D / 3D Art Lead,art lead required knowledge skill : successful experience position art director lead artist least year strong portfolio projects participated well managed ability set graphics style successfully finis,,Team management; Leadership; Project planning,,,,Team management; Leadership; Project planning,3
89,2D/3D Developer,developer project description : web application drilling engineers based microservices architecture system 's capabilities include data acquisition hardware software systems machine control cloud conn,Microservices architecture; Full-stack development; Data acquisition; Machine control; Cloud connectivity,,,,,Microservices architecture; Full-stack development; Data acquisition; Machine control; Cloud connectivity,5
90,2D/3D FullStack developer,fullstack developer ystem 's capabilities include data acquisition hardware software systems machine control cloud connectivity process control user interaction member cross functional team : fullstac,data acquisition; machine control; cloud connectivity; process control; user interaction,scrum methodology,,,,data acquisition; machine control; cloud connectivity; process control; user interaction; scrum methodology,6
91,2D/3D Generalist Artist,generalist artist visartech inc development partner years experience provides services initial concepts custom solutions leveraging cutting edge technologies foster clients become trendsetting digital,cutting edge technologies,,,,,cutting edge technologies,1
92,2D/3D Illustrator,illustrator passionate fearless illustrator looking new challenge look design agency offer creative supportive atmosphere collaborate coolest designers work amazing clients worldwide value independent,,,,,,,0
93,2D/3D Motion Designer,motion designer seen leading provider data driven video europe marketing technology provides fully automated solutions significantly increase engagement digital customer employee journeys unique video,data driven video,,,marketing technology,,data driven video; marketing technology,2
94,2D/3D Technical Artist for Mobile Games,technical artist mobile games b studios new company israel creates innovative mobile games new exciting market small team game industry veterans passionate delivering high quality competitive games ne,,,,gaming,,gaming,1
95,2D animation,animation requirements : esoteric spine adobe photoshop adobe effects create high quality animations optimization understanding bonus : experience social casino industry gaming background user unity k,Unity; animation principles,,Adobe Photoshop; Adobe Effects,,,Adobe Photoshop; Adobe Effects; Unity; animation principles,4
96,2d animator,animator qualifications : years animation experience strong portfolio animation demonstrates proven experience understanding design principles proficient adobe creative cloud animate cc effects illust,,,Adobe Creative Cloud; Animate CC; Effects; Illustrator; Photoshop,,,Adobe Creative Cloud; Animate CC; Effects; Illustrator; Photoshop,5
97,2d Animator,animator rubyplay igaming development studio strongly appreciate innovative ambitious people work burden workers try create interactive immersive experience takes players full pleasure journey us even,,,,,,,0
98,2d Animator,animator perion international company delivers outstanding digital marketing services rapidly growing company offices usa ukraine france israel undertone usa perion department looking part time animat,CTV; social animation; video spec optimization,,,,,CTV; social animation; video spec optimization,3
99,2D animator,animator playtika : playtika world 's leading online gaming company top grossing facebook developer top grossing developer ios android playtika 's passion creating fantastic customer entertaining expe,,,,online gaming,,online gaming,1
100,2D animator,animator work report directly team lead pm team player meet quality standards deadlines experience developing ui animations vfx experience character animation skills plus experience work spine years e,UI animations; VFX; Character animation; Animation packages,Leadership; Team management,Spine,Mobile games,,UI animations; VFX; Character animation; Spine; Animation packages; Mobile games; Leadership; Team management,8
101,2D-animator,animator main task working hypercasual games improve overall graphics animations user experience work closely game designer making iterations reach better results also participate discussions make pro,FX animations,Prioritizing tasks,Unity,Game design,,Unity; FX animations; Game design; Prioritizing tasks,4
102,2D Animator,animator animator sciplay work closely various stakeholders translate game message visual realms collaborate various sciplay departments teams create stunning visuals fast paced work closely art lead ,Animation briefs,,,Concept production pipeline; Production cycle,,Concept production pipeline; Production cycle; Animation briefs,3
103,2D Animator,animator digicode looking animator team expect meet specialist : animation spine animation frame animation particles animation etc years experience passion art gaming relevant consistent portfolio ado,Frame animation; Particles animation,English,Spine; Adobe Effect,,,Spine; Frame animation; Particles animation; Adobe Effect; English,5
104,2D Animator,animator experience qualifications : excellent practical experience spine effectsd graphics knowledge experience creating animation games slots preferable relevant consistent portfolio understanding p,,Teamwork; Communication,Spine; Photoshop,,,Spine; Photoshop; Teamwork; Communication,4
105,2D Animator,animator gamepoint looking animator integrator full time basis role animator integrator responsible animating integrating high quality visual content animator integrator provides implements assets mak,Integration; Visual content,Collaboration,,,,Integration; Visual content; Collaboration,3
106,2D Animator,animator addition looking : years experience animator deep knowledge experience igaming gaming industry ideal mandatory years experience spine experience creating animations slots excellent knowledge ,Traditional animation,,Spine; Adobe Photoshop,Igaming; Gaming industry,,Igaming; Gaming industry; Spine; Adobe Photoshop; Traditional animation,5
107,2D Animator,animator visionary gaming lab focused games leverage competitiveness cash prize reward role : responsible creating animation unity online billiard early stages concept development final execution work,,,Unity; Adobe Animate; Adobe Effects; Adobe Photoshop; Adobe Illustrator; Spine,,,Unity; Adobe Animate; Adobe Effects; Adobe Photoshop; Adobe Illustrator; Spine,6
108,2D Animator,animator job summary everymatrix games looking animator join team based kyiv lviv ukraine gaming platform integrated multiple external casino sites aggregators constantly partnering new external games,,,,Igaming; Gaming platform; Casino; Sports betting,,Igaming; Gaming platform; Casino; Sports betting,4
109,2D Animator,animator leap gaming search talented spine artist extensive knowledge motion timing rigging animation assets animator expected get psd png assets designers produce appealing animations good sense timi,Motion timing; Rigging; Animation assets; Particle systems,,Spine; Photoshop,,,Spine; Motion timing; Rigging; Animation assets; Photoshop; Particle systems,6
110,2D Animator,animator main duties responsibilities : creating animation effects effects participating visual style development new games creating packing animation integration development communicate artist well d,,,Photoshop; Spine,,,Photoshop; Spine,2
111,2D Animator,animator main requirements years experience passion art gaming relevant consistent portfolio flexible artistic style capable creative requested style practical skills expertise spine frame animation o,Frame animation,,Spine,,,Spine; Frame animation,2
112,2D Animator,animator n ix game vr studio team professionals delivering top quality games game assets vr solutions various game media enterprises startups among clients paradox interactive wargaming net tempo stor,,,,,,,0
113,2D Animator,animator program ace innovation oriented company years ' experience among others business lines cooperate world 's influential brands create high quality solutions ar vr mr applications virtual traini,,,,,,,0
